Date,Series reference,Period,Description,Revised,Initially published
yes,FPIQ.SEA31,2019.09,"Farm expenses price index, Horticulture and fruit growing farm, Livestock purchases",1434,not available
yes,FPIQ.SEA31,2019.12,"Farm expenses price index, Horticulture and fruit growing farm, Livestock purchases",1453,not available
yes,FPIQ.SEA31,2020.03,no value,1412,not available
,,,,1489,not available
no,FPIQ.SEB31,not available,"Farm expenses price index, Sheep, beef, and grain farms, Livestock purchases",1507,not available
yes,FPIQ.SEB31,not available,"Farm expenses price index, Sheep, beef, and grain farms, Livestock purchases",1462,not available
yes,FPIQ.SEB39,not available,"Farm expenses price index, Sheep, beef, and grain farms, Subtotal including livestock",1193,not available
yes,FPIQ.SEB39,not available,"Farm expenses price index, Sheep, beef, and grain farms, Subtotal including livestock",1199,not available
yes,FPIQ.SEB39,not available,"Farm expenses price index, Sheep, beef, and grain farms, Subtotal including livestock",1187,not available
yes,FPIQ.SEB99,2019.12,"Farm expenses price index, Sheep, beef, and grain farms, All inputs including livestock",1159,not available
no,FPIQ.SEC31,2019.09,"Farm expenses price index, Dairy farms, Livestock purchases",992,not available
yes,FPIQ.SEC31,2019.12,"Farm expenses price index, Dairy farms, Livestock purchases",1009,not available
no,FPIQ.SEC31,2020.03,"Farm expenses price index, Dairy farms, Livestock purchases",984,1065
yes,FPIQ.SEC39,2019.09,"Farm expenses price index, Dairy farms, Subtotal including livestock",1072,1079
yes,FPIQ.SEC39,2019.12,"Farm expenses price index, Dairy farms, Subtotal including livestock",1080,1087
no,FPIQ.SEC39,2020.03,"Farm expenses price index, Dairy farms, Subtotal including livestock",1083,1090
yes,FPIQ.SEC99,2019.09,"Farm expenses price index, Dairy farms, All inputs including livestock",1047,1052
yes,FPIQ.SEC99,2019.12,"Farm expenses price index, Dairy farms, All inputs including livestock",1048,1053
yes,FPIQ.SEC99,2020.03,"Farm expenses price index, Dairy farms, All inputs including livestock",1052,1057
yes,FPIQ.SED31,2019.09,"Farm expenses price index, Poultry, deer, and other livestock, Livestock purchases",1231,1263
yes,FPIQ.SED31,2019.12,"Farm expenses price index, Poultry, deer, and other livestock, Livestock purchases",1235,1267
yes,FPIQ.SED31,2020.03,"Farm expenses price index, Poultry, deer, and other livestock, Livestock purchases",1235,1267
yes,FPIQ.SED39,2019.09,"Farm expenses price index, Poultry, deer, and other livestock, Subtotal including livestock",1089,1092
yes,FPIQ.SED39,2019.12,"Farm expenses price index, Poultry, deer, and other livestock, Subtotal including livestock",1092,1095
yes,FPIQ.SED39,2020.03,"Farm expenses price index, Poultry, deer, and other livestock, Subtotal including livestock",1097,1099
yes,FPIQ.SED99,2019.09,"Farm expenses price index, Poultry, deer, and other livestock, All inputs including livestock",1075,1077
yes,FPIQ.SED99,2019.12,"Farm expenses price index, Poultry, deer, and other livestock, All inputs including livestock",1077,1079
yes,FPIQ.SED99,2020.03,"Farm expenses price index, Poultry, deer, and other livestock, All inputs including livestock",1081,1083
yes,FPIQ.SEE31,2019.09,"Farm expenses price index, Sheep and beef farms, Livestock purchases",1489,1492
yes,FPIQ.SEE31,2019.12,"Farm expenses price index, Sheep and beef farms, Livestock purchases",1507,1510
